2025-07-26 16:07:36 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 16:08:55 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 16:09:27 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 16:09:38 | download_manager | INFO | Début du traitement des téléchargements en attente
2025-07-26 16:09:38 | download_manager | INFO | Nombre d'albums en attente: 1
2025-07-26 16:09:38 | download_manager | INFO | Traitement de l'album: teardrops.on.a.book.page de Changeline
2025-07-26 16:09:38 | download_manager | INFO | Démarrage de la recherche pour: Changeline teardrops.on.a.book.page
2025-07-26 16:09:46 | download_manager | INFO | Analyse des résultats de endlessloop-server
2025-07-26 16:09:46 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: 'filename'
2025-07-26 16:09:46 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: 'filename'
2025-07-26 16:09:47 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: 'filename'
2025-07-26 16:09:47 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: 'filename'
2025-07-26 16:09:47 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: 'filename'
2025-07-26 16:09:47 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: 'filename'
2025-07-26 16:09:47 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: 'filename'
2025-07-26 16:09:47 | download_manager | INFO | Analyse des résultats de TransRights!
2025-07-26 16:09:48 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:09:48 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:09:48 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:09:48 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:09:49 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:09:49 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:09:49 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:09:49 | download_manager | INFO | Analyse des résultats de organic_rust
2025-07-26 16:09:50 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:09:50 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:09:50 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:09:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:09:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:09:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:09:52 | download_manager | INFO | Analyse des résultats de thisdogissomessedup
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:09:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:09:52 | download_manager | INFO | Analyse des résultats de theoryofword
2025-07-26 16:09:53 | download_manager | ERROR | Erreur lors de l'accès au dossier de theoryofword: 'filename'
2025-07-26 16:09:53 | download_manager | ERROR | Erreur lors de l'accès au dossier de theoryofword: 'filename'
2025-07-26 16:09:53 | download_manager | WARNING | Aucune correspondance trouvée pour Changeline teardrops.on.a.book.page
2025-07-26 16:09:53 | download_manager | WARNING | Échec du téléchargement pour teardrops.on.a.book.page
2025-07-26 16:09:53 | download_manager | INFO | Vérification de 0 téléchargements en cours
2025-07-26 16:11:19 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 16:11:27 | download_manager | INFO | Début du traitement des téléchargements en attente
2025-07-26 16:11:27 | download_manager | INFO | Nombre d'albums en attente: 1
2025-07-26 16:11:27 | download_manager | INFO | Traitement de l'album: teardrops.on.a.book.page de Changeline
2025-07-26 16:11:27 | download_manager | INFO | Démarrage de la recherche pour: Changeline teardrops.on.a.book.page
2025-07-26 16:11:35 | download_manager | INFO | Analyse des résultats de TransRights!
2025-07-26 16:11:35 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': '', 'filename': 'shared\\Changeline\\Changeline - teardrops.on.a.book.page\\01 - wasirapedthatnight.flac', 'length': 148, 'sampleRate': 44100, 'size': 14566714, 'isLocked': False}
2025-07-26 16:11:35 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:11:35 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': '', 'filename': 'shared\\Changeline\\Changeline - teardrops.on.a.book.page\\02 - brain.fog.flac', 'length': 156, 'sampleRate': 44100, 'size': 16800156, 'isLocked': False}
2025-07-26 16:11:35 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:11:35 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': '', 'filename': "shared\\Changeline\\Changeline - teardrops.on.a.book.page\\03 - don't.get.hit.flac", 'length': 165, 'sampleRate': 44100, 'size': 21240348, 'isLocked': False}
2025-07-26 16:11:36 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:11:36 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': '', 'filename': 'shared\\Changeline\\Changeline - teardrops.on.a.book.page\\04 - bad.person.music.flac', 'length': 128, 'sampleRate': 44100, 'size': 15052154, 'isLocked': False}
2025-07-26 16:11:36 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
2025-07-26 16:11:36 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': '', 'filename': 'shared\\Changeline\\Changeline - teardrops.on.a.book.page\\05 - i.deserve.it.flac', 'length': 155, 'sampleRate': 44100, 'size': 16132940, 'isLocked': False}
2025-07-26 16:11:36 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: 'filename'
